episode,reward,moves,checks,mates
861,-4.3,132,0,0
862,-1.13,32,0,0
863,-4.04,150,1,0
864,-0.74,37,0,0
865,-4.22,150,2,0
866,-1.1,5,0,0
867,-2.17,92,2,0
868,-1.66,47,0,0
869,-5.38,150,0,0
870,-0.29,33,3,0
871,-1.73,29,0,0
872,-0.35,41,1,0
873,-1.62,29,0,0
874,-1.56,64,2,0
875,-1.04,33,0,0
876,-2.17,92,1,0
877,-1.46,28,1,0
878,-2.15,65,1,0
879,-0.59,51,1,0
880,-1.63,127,1,0
881,-4.54,114,0,0
882,-0.76,30,0,0
883,-3.25,150,0,0
884,-0.94,38,2,0
885,-2.06,38,0,0
886,-2.51,111,0,0
887,-2.97,106,3,0
888,-0.77,40,3,0
889,-4.25,150,0,0
890,-0.94,45,2,0
891,-3.84,150,1,0
892,-1.13,8,0,0
893,-2.21,44,2,0
894,-0.78,32,0,0
895,-3.2,68,0,0
896,-1.04,37,0,0
897,-3.22,150,0,0
898,-1.09,8,0,0
899,-2.11,55,1,0
900,-0.93,43,1,0
901,-1.35,15,0,0
902,-0.76,51,0,0
903,-1.53,27,0,0
904,-0.01,45,5,0
905,-1.97,80,0,0
906,-1.03,18,1,0
907,-1.52,60,0,0
908,-1.52,62,0,0
909,-3.11,67,1,0
910,-3.07,93,1,0
911,-1.9,28,0,0
912,-1.23,48,0,0
913,-1.27,38,0,0
914,-0.46,34,0,0
915,-4.3,127,1,0
916,-1.04,9,2,0
917,-1.27,38,1,0
918,-0.24,30,0,0
919,-2.76,68,0,0
920,1.05,14,1,1
921,-1.03,41,2,0
922,-0.57,39,1,0
923,-1.34,40,0,0
924,-0.78,40,2,0
925,-6.27,150,0,0
926,-0.5,35,2,0
927,-2.99,95,0,0
928,-1.57,25,0,0
929,-1.73,36,0,0
930,-0.93,52,2,0
931,-1.77,55,1,0
932,-0.12,26,0,0
933,-3.38,150,3,0
934,-1.87,33,0,0
935,-3.62,78,0,0
936,-1.28,52,0,0
937,-2.87,54,1,0
938,-0.1,37,1,0
939,-1.0,31,1,0
940,-0.51,40,0,0
941,-3.64,150,0,0
942,-0.16,33,1,0
943,-2.9,150,0,0
944,-0.05,32,3,0
945,-4.44,150,1,0
946,-0.2,21,0,0
947,-4.99,150,0,0
948,-0.77,39,0,0
949,-1.37,68,0,0
950,-0.16,45,4,0
951,-1.23,118,2,0
952,-0.92,51,0,0
953,-3.66,145,0,0
954,-0.58,36,0,0
955,-1.32,25,0,0
956,-0.58,38,2,0
957,-2.51,76,0,0
958,-0.53,34,0,0
959,-1.35,20,0,0
960,-1.12,10,0,0
961,-4.9,150,0,0
962,-1.7,54,0,0
963,-3.71,108,0,0
964,-1.17,7,0,0
965,-1.5,61,0,0
966,-0.05,31,1,0
967,-2.36,148,0,0
968,-1.17,10,0,0
969,-1.15,5,0,0
970,-1.17,9,0,0
971,-5.04,150,0,0
972,-0.93,35,0,0
973,-2.94,150,2,0
974,-1.15,5,0,0
975,-4.3,117,0,0
976,-0.79,29,0,0
977,-2.07,37,0,0
978,-0.42,44,0,0
979,-2.3,75,1,0
980,-0.58,29,0,0
981,-4.3,150,3,0
982,-0.51,33,0,0
983,-3.34,150,0,0
984,-1.3,42,0,0
985,-3.9,101,1,0
986,-0.42,41,0,0
987,-1.57,41,0,0
988,-0.39,42,0,0
989,-1.98,70,0,0
990,-1.25,17,0,0
991,-1.66,77,0,0
992,-1.56,45,1,0
993,-2.25,63,0,0
994,-0.37,43,3,0
995,-1.85,40,0,0
996,-2.12,68,0,0
997,-2.52,110,1,0
998,-0.29,32,0,0
999,-4.81,141,1,0
1000,-0.27,27,0,0
1001,-1.14,33,0,0
1002,0.02,24,2,0
1003,-4.24,113,0,0
1004,-0.19,28,0,0
1005,-1.34,49,2,0
1006,-0.01,29,1,0
1007,-1.49,40,1,0
1008,-1.08,5,0,0
1009,-4.27,150,0,0
1010,-1.45,67,1,0
1011,-4.47,150,1,0
1012,-1.25,47,0,0
1013,-1.04,41,0,0
1014,-0.45,25,0,0
1015,-4.7,150,0,0
1016,-2.22,55,3,0
1017,-3.64,71,0,0
1018,-4.5,116,0,0
1019,-1.82,130,0,0
1020,-0.68,44,0,0
1021,-3.94,150,1,0
1022,-1.09,46,1,0
1023,-4.21,150,0,0
1024,-0.17,43,2,0
1025,-1.64,37,0,0
1026,-1.44,68,0,0
1027,-2.71,116,0,0
1028,-1.09,55,0,0
1029,-1.91,68,0,0
1030,-0.08,30,0,0
1031,-2.7,110,0,0
1032,-2.15,64,1,0
1033,-3.9,106,4,0
1034,-1.34,43,0,0
1035,-5.04,150,0,0
1036,-0.46,44,0,0
1037,-1.4,13,0,0
1038,-0.43,37,0,0
1039,-3.22,143,0,0
1040,-0.13,29,0,0
1041,-2.68,88,1,0
1042,0.06,36,0,0
1043,-3.98,150,0,0
1044,-0.66,45,4,0
1045,-5.97,150,0,0
1046,-0.19,44,3,0
1047,-1.82,73,2,0
1048,-1.24,24,0,0
1049,-3.27,70,1,0
1050,-0.92,52,0,0
1051,-1.44,49,2,0
1052,-0.62,25,0,0
1053,-2.93,89,1,0
1054,-0.59,36,2,0
1055,-1.7,106,2,0
1056,-0.46,31,0,0
1057,-4.02,150,1,0
1058,-1.01,47,0,0
1059,-5.73,136,0,0
1060,-1.33,31,0,0
1061,-3.54,141,0,0
1062,-0.2,41,1,0
1063,-5.14,150,2,0
1064,-0.56,30,2,0
